pincode,age_0_5,age_5_17,age_18_greater,new_date,state_clean,district_clean,month
733201,317,215,10,2025-05-01,West Bengal,Uttar Dinajpur,5
735218,75,53,14,2025-05-01,West Bengal,Jalpaiguri,5
736182,26,40,18,2025-05-01,West Bengal,Alipurduar,5
734010,85,67,19,2025-05-01,West Bengal,Darjeeling,5
700016,48,46,10,2025-05-01,West Bengal,Kolkata,5
733156,242,103,11,2025-05-01,West Bengal,Uttar Dinajpur,5
743145,74,52,12,2025-05-01,West Bengal,,5
735224,121,49,10,2025-05-01,West Bengal,Jalpaiguri,5
736165,182,61,28,2025-05-01,West Bengal,Cooch Behar,5
731204,204,61,13,2025-05-01,West Bengal,Birbhum,5
735210,134,215,19,2025-05-01,West Bengal,Jalpaiguri,5
733129,237,141,34,2025-05-01,West Bengal,Uttar Dinajpur,5
741313,55,15,19,2025-05-01,West Bengal,Nadia,5
733202,649,340,13,2025-05-01,West Bengal,Uttar Dinajpur,5
743263,169,68,14,2025-05-01,West Bengal,,5
736167,217,180,10,2025-05-01,West Bengal,Cooch Behar,5
741502,255,58,20,2025-05-01,West Bengal,Nadia,5
743263,92,77,13,2025-06-01,West Bengal,,6
700006,50,77,15,2025-06-01,West Bengal,Kolkata,6
700129,21,36,10,2025-06-01,West Bengal,,6
741223,74,37,11,2025-06-01,West Bengal,Nadia,6
736206,40,71,10,2025-06-01,West Bengal,Alipurduar,6
734427,19,28,10,2025-06-01,West Bengal,Darjeeling,6
741501,61,37,13,2025-06-01,West Bengal,Nadia,6
735217,20,40,12,2025-06-01,West Bengal,Alipurduar,6
731204,139,65,17,2025-06-01,West Bengal,Birbhum,6
721201,45,67,10,2025-06-01,West Bengal,,6
734201,10,45,12,2025-06-01,West Bengal,Darjeeling,6
743248,35,27,15,2025-06-01,West Bengal,,6
741126,81,60,14,2025-06-01,West Bengal,Nadia,6
734429,38,43,31,2025-06-01,West Bengal,Darjeeling,6
736202,37,68,11,2025-06-01,West Bengal,Alipurduar,6
743287,30,21,17,2025-06-01,West Bengal,,6
733129,104,107,67,2025-06-01,West Bengal,,6
734010,18,27,29,2025-06-01,West Bengal,Darjeeling,6
732124,115,127,10,2025-06-01,West Bengal,Malda,6
736182,21,48,31,2025-06-01,West Bengal,Alipurduar,6
733202,374,393,12,2025-06-01,West Bengal,,6
735135,35,49,35,2025-06-01,West Bengal,Jalpaiguri,6
734003,27,59,26,2025-06-01,West Bengal,Darjeeling,6
733134,250,116,17,2025-06-01,West Bengal,,6
700016,25,39,11,2025-06-01,West Bengal,Kolkata,6
735224,47,46,12,2025-06-01,West Bengal,,6
700023,45,76,17,2025-06-01,West Bengal,Kolkata,6
700125,92,53,16,2025-06-01,West Bengal,,6
734001,30,56,17,2025-06-01,West Bengal,Darjeeling,6
700110,53,53,15,2025-06-01,West Bengal,,6
741502,64,42,34,2025-06-01,West Bengal,Nadia,6
733207,567,637,22,2025-06-01,West Bengal,,6
735218,24,49,12,2025-06-01,West Bengal,Jalpaiguri,6
713126,28,18,12,2025-06-01,West Bengal,Purba Bardhaman,6
734013,23,24,17,2025-06-01,West Bengal,Darjeeling,6
